Time,WindSpeed (m/s),Wind Direction (Â°)
2023-03-17 11:00:00,10,236
2023-03-17 17:00:00,8,239
2023-03-17 23:00:00,8,243
2023-03-18 05:00:00,8,240
2023-18-10 11:00:00,13,212
2023-03-18 17:00:00,14,315
2023-03-18 23:00:00,11,321
2023-03-19 05:00:00,9,322
2023-03-19 11:00:00,7,326
2023-03-19 17:00:00,4,327
2023-03-19 23:00:00,1,313
2023-03-20 05:00:00,3,151
2023-03-20 11:00:00,7,176
2023-03-20 17:00:00,8,229
2023-03-20 23:00:00,9,253
2023-03-21 05:00:00,8,308
2023-03-21 11:00:00,5,300
2023-03-21 17:00:00,4,272
2023-03-21 23:00:00,5,239
2023-03-22 05:00:00,4,307
2023-03-22 11:00:00,3,329
